fecha_terminacion_proyecto,fecha_de_corte,c_digo_divipola_departamento,departamento,c_digo_divipola_municipio,municipio,indicador,nombre_proyecto,origen,aporte_nacion,contrapartida,estado_seguimiento,num_municipios,región
2020-02-27,2024-04-04,52,nariño,52687,san lorenzo(nar),nueva población beneficiada alcantarillado urbano,"mejoramiento de las condiciones de saneamiento rural mediante la implementación de acciones de descontaminación, educación y preservación ambiental en la cuenca del rio juanambu, municipio de san lorenzo -nariño",pda,0,1466418062,terminado,1,Región Pacífica
2019-07-20,2024-04-04,5,antioquia,5045,apartadó(ant),nueva población beneficiada acueducto urbano,construcción pozo profundo y  obras accesorias para nueva fuente de captación de agua subterránea  del sistema de acueducto en el municipio de apartadó,pgn,3559506445,30144552,liquidado,1,Región Andina
2020-09-15,2024-04-04,47,magdalena,47058,ariguani(mag),nueva población beneficiada acueducto urbano,construcción de la linea de conducción de la ebap 2 a la ebap 3 del sistema de acueducto del municipio de ariguani (poi 3),pda,0,5387214653,liquidado contrato obra,1,Región Caribe
2019-01-15,2024-04-04,17,caldas,17380,la dorada(cal),nueva población beneficiada alcantarillado urbano,optimizacion redes de alcantarillado barrio las ferias iii fase en el municipio de la dorada,pgn,5342170422,87380067,liquidado,1,Región Andina
2018-11-24,2024-04-04,44,la guajira,44430,maicao(la ),nueva población beneficiada acueducto urbano,"presurizacion red de acueducto, incluye proyecto piloto, micromedicion, eliminacion de fraudes y proceso de divulgacion y campañas de socializacion del municipio de maicao",pda,0,8788796454,terminado,1,Región Caribe
2019-12-20,2024-04-04,27,choco,27099,bojaya (bellavista)(cho),nueva población beneficiada acueducto urbano,optimizacion del sistema de acueducto de la cabecera municipal de bojaya,pgn,4560847254,0,liquidado,1,Región Pacífica
2019-07-02,2024-04-04,70,sucre,70670,sampues(suc),nueva población beneficiada acueducto urbano,optimizacion y ampliacion del sistema de acueducto de la cabecera de sampues fase i,pda,5540140406,3849567780,terminado,1,Región Caribe
2019-09-30,2024-04-04,47,magdalena,47053,aracataca(mag),nueva población beneficiada acueducto rural,"optimización y ampliación del sistema de acueducto de los corregimientos de buenos aires y sampués del municipio de aracataca, departamento del magdalena",pda,0,6292128227,liquidado contrato obra,1,Región Caribe
2020-07-13,2024-04-04,86,putumayo,86885,villagarzon(put),nueva población beneficiada alcantarillado rural,"construcción unidad sanitaria y sistema de tratamiento prefabricado para viviendas dispersas, municipio de villagrazón",obras por impuestos,0,0,liquidado,1,Región Amazonía
2018-12-31,2024-04-04,86,putumayo,86320,orito(put),nueva población beneficiada acueducto urbano,"construccion sistema de captacion, desarenador y conduccion en la quebrada la fragua para el acueducto del casco urbano municipio de orito",pda,2538295539,648582521,terminado,1,Región Amazonía
2020-02-28,2024-04-04,63,quindio,63190,circasia(qui),nueva población beneficiada acueducto rural,construcción de la línea de expansión del sistema de acueducto hacia el sector rural del municipio de circasia sector hojas anchas y la cristalina,pgn,3560314006,0,liquidado,1,Región Andina
2021-02-11,2024-04-04,44,la guajira,44430,maicao(la ),nueva población beneficiada acueducto rural,implementación modelo de distribución de agua potable para las comunidades indígenas wayúu de la zona rural dispersa del municipio de maicao - la guajira maicao,obras por impuestos,0,0,en liquidación,1,Región Caribe
2021-03-04,2024-04-04,13,bolivar,13657,san juan nepomuceno(bol),nueva población beneficiada acueducto urbano,construccion de obras para la optimizacion del acueducto de la cabecera municipal de san juan nepomuceno.,pda,0,4758252788,en liquidación,1,Región Caribe
2019-02-14,2024-04-04,73,tolima,73675,san antonio(tol),nueva población beneficiada acueducto urbano,optimizacion del sistema de suministro de agua para el acueducto del municipio de san antonio,contrato plan,2370473240,290704118,liquidado,1,Región Andina
2019-08-02,2024-04-04,8,atlantico,8685,santo tomás(atl),nueva población beneficiada acueducto urbano,construccion sistema de acueducto barrio la arenosa municipio de santo tomas,pda,906790312,19990696,terminado,1,Región Caribe
2018-11-24,2024-04-04,19,cauca,19585,puracé(cau),nueva población beneficiada alcantarillado urbano,"construccion, obras de optimizacion y ampliacion sistema de alcantarillado sanitario cabecera municipal coconuco municipio de purace",pda,1639767714,2483160334,liquidado contrato obra,1,Región Pacífica
2018-12-17,2024-04-04,52,nariño,52001,pasto(nar),nueva población beneficiada alcantarillado urbano,construccion colector aranda municipio de pasto,pgn,18756082361,162601600,liquidado,1,Región Pacífica
2019-12-27,2024-04-04,52,nariño,52693,san pablo(nar),nueva población beneficiada alcantarillado rural,construcción unidades sanitarias para el mejoramiento de las condiciones de saneamiento de la zona rural del municipio de san pablo,pgn,2566333012,0,liquidado,1,Región Pacífica
2021-03-26,2024-04-04,13,bolivar,13160,cantagallo(bol),nueva población beneficiada alcantarillado rural,construcción de 150 unidades sanitarias para viviendas dispersas en la zona baja del área rural del municipio de cantagallo,obras por impuestos,0,0,en liquidación,1,Región Caribe
2020-06-30,2024-04-04,47,magdalena,"47053, 47058, 47161, 47460, 47555","aracataca(mag), ariguani(mag), cerro san antonio(mag), nueva granada(mag), plato(mag)",nueva población beneficiada acueducto urbano,"construcción de las redes de acueducto y alcantarillado de los municipios de aracataca, nueva granada, ariguaní, plato y cerro de san antonio, en el departamento del magdalena",pda,0,29519963930,terminado,5,Región Caribe
2020-06-30,2024-04-04,47,magdalena,"47053, 47058, 47161, 47460, 47555","aracataca(mag), ariguani(mag), cerro san antonio(mag), nueva granada(mag), plato(mag)",nueva población beneficiada alcantarillado urbano,"construcción de las redes de acueducto y alcantarillado de los municipios de aracataca, nueva granada, ariguaní, plato y cerro de san antonio, en el departamento del magdalena",pda,0,29519963930,terminado,5,Región Caribe
2020-12-09,2024-04-04,47,magdalena,47170,chivolo(mag),nueva población beneficiada alcantarillado rural,"construccion del sistema de alcantarillado sanitario del corregimiento de la estrella, municipio de chibolo",pda,0,2732924997,terminado,1,Región Caribe
2019-04-27,2024-04-04,47,magdalena,47268,el reten(mag),nueva población beneficiada alcantarillado urbano,construccion del sistema de alcantarillado sanitario del municipio de el reten,pda,756862257,9531403911,terminado,1,Región Caribe
2020-09-30,2024-04-04,47,magdalena,47170,chivolo(mag),nueva población beneficiada alcantarillado rural,construccion del sistema de alcantarillado del corregimiento de la china municipio de chibolo,pda,0,3700155442,terminado,1,Región Caribe
2020-12-17,2024-04-04,47,magdalena,47001,santa marta(mag),nueva población beneficiada alcantarillado urbano,construccion alcantarillado sanitario etapa ii e instalacion redes de alcantarillado sanitario etapa i en el sistema sur en santa marta,pda,8499032669,6192170960,terminado,1,Región Caribe
2020-03-06,2024-04-04,47,magdalena,47053,aracataca(mag),nueva población beneficiada alcantarillado rural,"construcción del sistema de alcantarillado sanitario en el corregimiento de cauca, municipio de aracataca",pda,0,2623331888,terminado,1,Región Caribe
2021-03-19,2024-04-04,47,magdalena,47555,plato(mag),nueva población beneficiada acueducto rural,"optimización y ampliación del sistema de acueducto del corregimiento de disciplina, municipio de plato, departamento del magdalena",pda,0,1378884932,terminado,1,Región Caribe
2019-05-31,2024-04-04,47,magdalena,47030,algarrobo(mag),nueva población beneficiada alcantarillado urbano,construccion del sistema de alcantarillado del municipio de algarrobo fase i,pda,0,13277389818,en liquidación,1,Región Caribe
2019-07-11,2024-04-04,47,magdalena,47551,pivijay(mag),nueva población beneficiada acueducto rural,"construcción del sistema de acueducto del  corregimiento de piñuelas, municipio de pivijay, departamento del magdalena",pda,0,1768846273,en liquidación,1,Región Caribe
2021-08-05,2024-04-04,73,tolima,73671,saldaña(tol),nueva población beneficiada acueducto urbano,construccion de una fuente alterna de suministro para el sistema de acueducto casco urbano del municipio del saldaña.,pda,762687044,1290149730,terminado,1,Región Andina
2019-11-30,2024-04-04,13,bolivar,13620,san cristobal(bol),nueva población beneficiada alcantarillado urbano,construccion del sistema de alcantarillado y tratamiento de aguas residuales para la cabecera del municipiol de san cristobal etapa i - bolivar,pda,0,4350743694,en liquidación,1,Región Caribe
